,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
900,F,16,U,LE3,T,2,1,other,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,2,2,0,2,45
901,M,16,U,LE3,T,4,4,other,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,1,2,0,7,35
902,M,15,R,GT3,T,1,2,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,no,5,5,5,11,4,30
903,M,15,U,LE3,A,2,2,reputation,mother,3,4,0,no,yes,no,yes,yes,yes,no,no,5,4,5,8,5,41
904,M,15,U,LE3,A,2,1,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,11,3,37
905,F,16,R,LE3,T,2,2,course,mother,1,3,0,no,yes,no,no,no,yes,no,yes,4,3,3,2,4,33
906,F,16,U,LE3,T,4,1,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,1,2,4,8,4,29
907,F,17,U,GT3,T,3,2,home,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,3,3,5,4,31
908,F,17,R,GT3,T,2,2,other,mother,2,2,0,yes,no,yes,no,yes,yes,no,no,5,1,3,0,2,31
909,F,16,U,GT3,T,4,4,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,1,5,33
910,M,17,R,GT3,T,4,4,course,father,3,1,3,no,no,no,yes,yes,yes,yes,yes,3,3,3,2,4,26
911,M,17,R,LE3,T,1,3,course,father,2,1,0,no,no,no,yes,yes,yes,no,yes,5,1,2,2,6,35
912,M,17,U,GT3,T,3,4,other,mother,1,2,1,no,yes,no,yes,no,yes,yes,yes,5,4,4,8,7,25
913,F,17,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,5,0,2,44
914,M,16,R,LE3,T,4,1,other,father,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,0,3,32
915,F,17,U,GT3,A,1,1,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,5,5,2,3,32
916,F,17,R,GT3,T,4,2,course,mother,2,2,0,yes,yes,no,no,no,yes,yes,no,4,3,3,0,5,53
917,M,16,U,LE3,A,2,2,course,father,2,2,0,no,yes,no,no,no,yes,yes,yes,4,1,2,0,4,38
918,M,17,U,GT3,T,3,2,other,father,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,1,2,0,4,40
919,M,19,U,GT3,T,1,1,other,mother,1,2,2,no,yes,no,yes,yes,no,yes,no,4,4,3,2,7,28
920,M,17,U,LE3,A,1,0,home,mother,1,1,0,no,no,no,no,yes,yes,no,yes,4,1,2,4,2,34
921,F,17,R,GT3,T,1,1,course,father,2,1,0,no,yes,no,yes,yes,no,yes,yes,3,5,5,3,4,31
922,F,16,R,GT3,T,1,2,home,father,1,3,0,yes,yes,no,no,no,yes,yes,yes,4,3,4,5,2,40
923,M,16,R,LE3,T,1,2,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,4,4,4,4,6,30
924,F,17,R,GT3,T,3,1,course,mother,2,2,3,no,yes,no,yes,no,yes,yes,yes,5,4,4,2,2,26
925,M,17,R,GT3,T,2,2,course,mother,2,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,0,8,31
926,M,18,R,GT3,T,1,0,course,other,3,1,1,yes,yes,no,no,yes,yes,no,no,4,3,2,0,2,37
927,M,17,R,GT3,T,1,1,course,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,5,0,4,29
928,M,18,U,LE3,T,1,1,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,6,5,29
929,F,16,R,LE3,T,2,2,course,father,1,2,0,no,no,no,yes,yes,yes,no,yes,5,4,3,0,2,36
930,M,17,U,GT3,T,2,2,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,1,2,1,0,5,7
931,M,16,R,GT3,T,3,2,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,30
932,M,16,R,LE3,T,1,1,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,0,6,29
933,M,18,R,GT3,T,1,1,course,other,2,1,1,no,yes,no,no,yes,no,yes,yes,5,3,3,2,5,25
934,M,18,R,GT3,T,3,2,course,mother,1,1,1,no,no,no,no,yes,no,yes,no,2,3,1,0,4,4
935,M,19,U,GT3,T,3,2,course,mother,2,1,3,no,no,no,yes,yes,yes,no,no,3,2,1,4,2,26
936,M,18,U,GT3,T,3,3,course,mother,1,2,2,no,yes,no,yes,yes,no,yes,no,4,4,5,9,4,20
937,M,16,R,GT3,T,2,2,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,6,6,23
938,M,19,U,GT3,T,2,1,course,other,2,1,3,no,no,no,yes,no,no,yes,yes,4,4,3,4,4,26
939,F,16,U,GT3,A,3,2,course,mother,2,2,2,no,yes,no,yes,yes,yes,no,yes,2,5,5,8,2,17
940,F,17,U,GT3,T,1,1,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,4,3,2,9,3,26
941,F,18,R,GT3,A,4,3,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,8,7,31
942,M,18,R,GT3,T,3,2,course,mother,2,1,0,no,yes,no,no,no,yes,yes,no,2,5,5,8,10,30
943,M,19,R,GT3,T,1,1,home,other,3,2,1,no,no,no,no,yes,yes,yes,no,5,4,4,8,6,30
944,M,17,U,GT3,T,3,3,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,4,5,27
945,M,18,U,LE3,T,1,3,course,mother,1,1,0,no,no,no,no,yes,no,yes,yes,4,3,3,0,5,28
946,M,19,R,GT3,T,1,1,home,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,4,6,27
947,F,18,U,GT3,A,1,2,course,mother,2,2,2,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,22
948,F,19,U,LE3,A,1,1,course,mother,1,1,0,no,yes,no,no,yes,no,no,no,1,4,4,0,2,21
949,F,18,R,GT3,T,2,2,other,mother,2,1,1,no,no,no,no,yes,no,yes,yes,5,5,5,0,2,14
950,F,17,R,GT3,T,0,0,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,0,2,32
951,F,17,R,LE3,A,3,1,course,other,2,3,0,no,yes,yes,no,yes,no,no,no,4,2,3,5,4,23
952,F,17,U,GT3,T,4,2,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,5,5,0,4,16
953,F,18,R,LE3,T,2,2,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,2,3,3,3,3,21
954,F,17,U,GT3,T,4,1,course,mother,1,1,0,no,yes,no,no,yes,yes,no,yes,3,2,2,0,2,27
955,F,17,U,LE3,T,1,2,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,5,5,1,0,2,27
956,F,18,U,GT3,T,1,1,course,mother,3,2,2,no,no,no,yes,yes,yes,no,yes,3,4,4,3,4,22
957,F,18,U,GT3,T,2,2,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,3,5,2,2,39
958,F,17,U,GT3,T,3,3,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,0,2,36
959,F,18,U,LE3,A,1,2,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,3,0,3,39
960,F,18,U,GT3,T,4,4,reputation,mother,2,2,0,no,no,no,yes,no,yes,yes,no,4,3,5,0,3,54
961,M,18,U,LE3,T,4,4,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,5,3,2,51
962,F,17,U,GT3,T,4,2,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,3,53
963,F,18,R,GT3,T,2,2,course,mother,3,2,1,no,no,no,yes,yes,yes,no,yes,4,3,3,0,2,9
964,M,18,U,LE3,T,1,2,home,mother,2,1,0,no,yes,no,no,no,yes,no,no,4,1,4,8,10,32
965,M,18,R,GT3,T,4,4,other,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,5,5,2,39
966,M,17,R,GT3,T,1,1,other,father,3,1,0,no,no,no,no,no,no,no,no,4,2,3,4,7,39
967,F,18,U,GT3,T,2,2,course,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,1,3,1,4,2,26
968,F,18,U,LE3,T,2,2,course,father,2,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,0,5,36
969,F,18,R,LE3,A,4,2,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,1,0,2,5
970,F,18,U,GT3,T,1,1,course,mother,3,2,1,no,no,no,no,yes,no,no,no,4,4,2,2,3,29
971,F,19,U,GT3,T,1,1,other,father,2,1,1,no,no,no,no,yes,no,no,no,5,5,5,0,5,5
972,F,17,U,GT3,T,4,2,course,father,2,4,0,no,no,no,no,yes,yes,yes,yes,4,2,3,0,4,54
973,F,17,R,LE3,A,2,1,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,5,3,34
974,F,18,U,LE3,A,1,1,course,mother,1,2,0,no,no,no,no,yes,yes,no,yes,5,2,3,2,3,29
975,F,18,U,GT3,T,1,2,course,father,2,2,0,no,yes,no,no,yes,no,no,no,4,1,1,0,2,34
976,F,19,R,GT3,A,1,1,course,other,2,2,3,no,yes,no,yes,yes,no,no,yes,3,5,4,0,5,8
977,F,18,R,GT3,T,2,2,home,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,1,5,2,43
978,M,17,R,GT3,T,4,3,home,mother,2,2,1,no,yes,yes,yes,no,yes,yes,yes,4,5,5,4,4,32
979,F,18,U,GT3,T,3,3,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,0,2,30
980,F,17,R,GT3,T,4,4,other,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,36
981,F,17,U,LE3,A,3,2,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,0,3,44
982,M,18,U,LE3,T,1,1,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,2,3,41
983,F,18,U,LE3,T,1,1,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,0,2,54
984,F,18,R,LE3,A,1,2,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,0,5,46
985,F,18,U,GT3,T,3,3,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,6,4,38
986,F,17,U,LE3,T,4,4,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,4,4,2,44
987,F,17,R,GT3,T,1,2,course,father,2,2,0,no,no,no,no,no,yes,no,no,3,2,2,0,3,39
988,M,18,R,GT3,T,1,3,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,0,6,27
989,M,18,U,LE3,T,4,4,other,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,2,0,4,47
990,F,17,R,GT3,T,1,1,reputation,mother,3,1,1,no,yes,no,no,yes,yes,yes,yes,5,2,1,0,3,25
991,F,18,U,GT3,T,2,3,course,father,2,1,0,no,yes,no,no,yes,yes,yes,yes,5,2,3,0,3,30
992,F,18,R,GT3,T,4,4,other,father,3,2,0,no,yes,no,no,no,yes,yes,yes,3,2,2,0,6,12
993,M,18,R,LE3,T,1,2,other,father,3,1,0,no,yes,no,yes,yes,no,yes,yes,4,3,3,3,5,29
994,F,17,U,GT3,T,2,2,home,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3,4,3,8,2,33
995,F,17,R,GT3,T,1,2,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,4,4,24
996,F,18,R,LE3,T,4,4,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5,4,4,0,2,49
997,F,18,R,GT3,T,1,1,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,4,3,33
998,F,19,R,GT3,T,1,1,course,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,4,2,24
999,F,18,R,LE3,T,4,4,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,3,1,7,41
1000,F,18,U,GT3,T,3,3,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,1,3,1,3,48
1001,F,17,R,GT3,T,3,1,reputation,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,5,4,10,5,26
1002,M,18,U,GT3,T,4,4,home,father,1,2,0,no,no,no,yes,no,yes,yes,no,3,2,4,4,5,54
1003,M,18,R,GT3,T,2,1,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,3,0,4,14
1004,M,17,U,GT3,T,2,3,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,4,2,45
1005,M,19,R,GT3,T,1,1,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,0,4,13
1006,M,18,R,GT3,T,4,2,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,0,7,14
1007,F,18,R,GT3,T,2,2,other,mother,2,3,0,no,no,no,no,yes,yes,no,no,5,3,3,0,4,46
1008,F,17,U,GT3,T,4,3,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,5,4,0,2,26
1009,F,18,R,GT3,T,4,4,reputation,mother,3,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,4,4,26
1010,F,19,R,GT3,T,2,3,course,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,4,3,31
1011,F,18,U,LE3,T,3,1,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,4,2,46
1012,F,18,U,GT3,T,1,1,course,mother,2,2,0,no,no,no,yes,yes,yes,no,no,1,1,1,6,2,32
1013,M,17,U,LE3,T,3,1,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,6,7,30
1014,M,18,R,LE3,T,3,2,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,4,7,32
